Kos	Control_x	Disease_x	% Control	% Disease	enriched	pvalue	qvalue	max (%)	xxx	desc
K03100	49	6	1.06	0.24	Control	5.23E-05	0.001188898	 1.058 	1 	lepB; signal peptidase I [EC:3.4.21.89]
K08600	48	15	1.04	0.59	Control	0.06324334	0.392652737	 1.037 	0 	srtB; sortase B [EC:3.4.22.71]
K07284	47	9	1.02	0.36	Control	0.001841102	0.027658742	 1.015 	1 	srtA; sortase A [EC:3.4.22.70]
K01491	26	25	0.56	0.99	Disease	0.054752332	0.358714058	 0.988 	0 	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K20534	4	23	0.09	0.91	Disease	1.30E-07	4.04E-06	 0.909 	0 	gtrB, csbB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
K21029	42	9	0.91	0.36	Control	0.007642212	0.085848506	 0.907 	0 	moeB; molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]
K07813	41	6	0.89	0.24	Control	0.000659085	0.011623383	 0.886 	0 	agrB; accessory gene regulator B
K03271	1	22	0.02	0.87	Disease	1.66E-09	6.39E-08	 0.869 	0 	gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K12132	38	14	0.82	0.55	Control	0.244402057	0.705174703	 0.821 	0 	prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
K04773	7	19	0.15	0.75	Disease	0.000108531	0.0022705	 0.751 	0 	sppA; protease IV [EC:3.4.21.-]
K00012	27	6	0.58	0.24	Control	0.043875754	0.316842311	 0.583 	0 	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K02078	6	14	0.13	0.55	Disease	0.001832861	0.027658742	 0.553 	0 	acpP; acyl carrier protein
K00945	25	3	0.54	0.12	Control	0.004935615	0.062771456	 0.540 	0 	cmk; CMP/dCMP kinase [EC:2.7.4.25]
K00560	24	12	0.52	0.47	Control	0.862923258	1	 0.518 	0 	thyA, TYMS; thymidylate synthase [EC:2.1.1.45]
K02654	21	7	0.45	0.28	Control	0.323108291	0.705174703	 0.454 	0 	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K00957	21	2	0.45	0.08	Control	0.007225289	0.081801605	 0.454 	0 	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
K04771	7	11	0.15	0.43	Disease	0.026962579	0.238775968	 0.435 	0 	degP, htrA; serine protease Do [EC:3.4.21.107]
K01951	19	7	0.41	0.28	Control	0.418100488	0.827884848	 0.410 	0 	guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
K00854	19	4	0.41	0.16	Control	0.081689344	0.497546701	 0.410 	0 	xylB, XYLB; xylulokinase [EC:2.7.1.17]
